annual_income_krw,regional_example_limit_krw,capital_regulated_example_limit_krw,difference_krw,capital_lower_vs_regional_pct,no_stress_limit_krw,capital_lower_vs_no_stress_krw
40000000,256000000,200000000,56000000,21.9,279000000,79000000
50000000,320000000,250000000,70000000,21.9,349000000,99000000
60000000,383000000,301000000,82000000,21.4,419000000,118000000
70000000,447000000,351000000,96000000,21.5,489000000,138000000
80000000,511000000,401000000,110000000,21.5,559000000,158000000
100000000,639000000,501000000,138000000,21.6,698000000,197000000
